Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Reasons for canceling by Customer,Reasons for canceling by Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
09-04-2025,19:06:00,CNR1613442907,Incomplete,CUST8642,Auto,Chandkheda,Bodakdev,,,,,,,Yes,Vehicle Breakdown,,,,,
17-04-2025,17:37:00,CNR6084733286,Success,CUST6844,Auto,Juhapura,Amraiwadi,4.87,7.34,,,,,,,438.91,Credit Card,15.43,4.4,3
17-04-2025,08:27:00,CNR5574913909,Canceled by Driver,CUST8232,Prime Sedan,Vejalpur,Behrampura,,,,,Yes,Customer was coughing/sick,,,,,,,
19-04-2025,20:18:00,CNR9629219202,Success,CUST4304,Bike,Vatva,Bodakdev,5.2,9.56,,,,,,,292.728,Debit Card,7.99,4.2,3.3
18-04-2025,18:13:00,CNR8772349137,Success,CUST5352,eBike,Paldi,Danilimda,8.47,16.78,,,,,,,280.89,Wallet,15.22,3.1,4.2
27-04-2025,13:28:00,CNR5320206193,Success,CUST4527,eBike,Danilimda,Bodakdev,14.39,19.48,,,,,,,782.4,Cash,3.34,4.4,3.9
01-04-2025,17:12:00,CNR3550177557,Success,CUST7203,Prime SUV,Kubernagar,Vatva,3.41,18.64,,,,,,,347.47,Credit Card,8.48,4,4.1
03-04-2025,09:50:00,CNR2066223074,Incomplete,CUST7005,Prime Sedan,Hansol,Naranpura,,,,,,,Yes,Vehicle Breakdown,,,,,
25-04-2025,06:38:00,CNR3743605544,Incomplete,CUST9383,eBike,Asarwa,Juhapura,,,,,,,Yes,Vehicle Breakdown,,,,,
08-04-2025,16:56:00,CNR4583583374,Incomplete,CUST3299,Auto,Saraspur,Navrangpura,,,,,,,Yes,Vehicle Breakdown,,,,,
02-04-2025,14:50:00,CNR6617947613,Success,CUST3823,eBike,Chandkheda,Prahlad Nagar,3.54,9.88,,,,,,,171.84,Wallet,20.89,3.7,3.6
11-04-2025,12:16:00,CNR9334959577,Success,CUST2651,Auto,Sabarmati,Jamialpur,12.63,6.12,,,,,,,1772.24,Credit Card,5.77,3,4.6
17-04-2025,03:38:00,CNR3202835499,Canceled by Driver,CUST5422,Prime SUV,Science City,Hansol,,,,,Yes,Customer related issue,,,,,,,
03-04-2025,12:33:00,CNR1864936481,Success,CUST4258,Auto,Thaltej,Bodakdev,7.3,6.74,,,,,,,811.03,Credit Card,8.94,3.1,3.6
18-04-2025,04:36:00,CNR6411431817,Canceled by Driver,CUST5570,Prime Plus,Hansol,Gomtipur,,,,,Yes,More than permitted people in there,,,,,,,
17-04-2025,01:30:00,CNR9181921464,Incomplete,CUST9010,Prime Plus,CG Road,Ambawadi,,,,,,,Yes,Customer Demand,,,,,
07-04-2025,07:17:00,CNR8963123318,Success,CUST1568,Prime Sedan,Naroda,Vatva,11.56,16.41,,,,,,,396.16,UPI,12.85,4,3.9
21-04-2025,21:43:00,CNR8107979140,Success,CUST1477,Bike,Shahpur,Isanpur,3.38,14.55,,,,,,,278.35,UPI,22.78,3.5,3.8
29-04-2025,08:15:00,CNR1568392387,Success,CUST5665,Auto,Gomtipur,Vejalpur,6.48,7.42,,,,,,,903.25,Cash,16.2,4.7,4.6
18-04-2025,19:40:00,CNR9013786812,Incomplete,CUST7705,eBike,Satellite,New Ranip,,,,,,,Yes,Customer Demand,,,,,
24-04-2025,23:44:00,CNR8421653597,Canceled by Driver,CUST4838,Prime SUV,Naranpura,Hansol,,,,,Yes,Customer was coughing/sick,,,,,,,
17-04-2025,07:20:00,CNR9057629541,Success,CUST4935,Mini,Prahlad Nagar,Bopal,4.32,8.42,,,,,,,417.29,Wallet,21.66,3,4
02-04-2025,13:34:00,CNR9403937690,Success,CUST4795,Mini,Gota,Manek Chowk,4.44,10.06,,,,,,,661.28,UPI,13.45,4.4,3.7
21-04-2025,20:44:00,CNR2389247158,Incomplete,CUST8931,Prime Sedan,Odhav,Naroda,,,,,,,Yes,Customer Demand,,,,,
05-04-2025,03:32:00,CNR1648086085,Success,CUST3796,Auto,Ranip,Ashram Road,6.61,9.27,,,,,,,388.428,UPI,13.06,3.1,3.6
14-04-2025,02:01:00,CNR2541825506,Success,CUST8769,eBike,Manek Chowk,Amraiwadi,4.74,12.34,,,,,,,1242.06,Wallet,17.13,4.5,3.5
30-04-2025,03:14:00,CNR3655049602,Success,CUST1689,Mini,Sola,New Ranip,10.59,14.5,,,,,,,90.54,Wallet,21.05,3.6,3.4
15-04-2025,10:27:00,CNR7629561668,Success,CUST5442,Bike,Maninagar,Ellis Bridge,11.13,5.25,,,,,,,151.7,Credit Card,16.48,3.3,4.4
06-04-2025,09:30:00,CNR8190427484,Incomplete,CUST5422,Bike,Thaltej,Vastrapur,,,,,,,Yes,Customer Demand,,,,,
13-04-2025,09:23:00,CNR7433189214,Success,CUST3716,Prime Sedan,Gomtipur,Manek Chowk,4.36,18.87,,,,,,,754.452,Credit Card,16.84,4.6,4.1
01-04-2025,05:15:00,CNR8145340704,Success,CUST4969,Auto,Vasna,Chharodi,4.12,18.46,,,,,,,815.92,Debit Card,9.14,3.7,4.5
04-04-2025,19:35:00,CNR3675809911,Incomplete,CUST6812,eBike,Ellis Bridge,Amraiwadi,,,,,,,Yes,Customer Demand,,,,,
14-04-2025,13:00:00,CNR2744500773,Canceled by Customer,CUST1917,Prime Sedan,Memnagar,Paldi,,,Yes,Wrong Address,,,,,,,,,
03-04-2025,05:41:00,CNR2429046022,Success,CUST3085,Prime Plus,Sola,New Ranip,13.78,14.1,,,,,,,95.56,Cash,16.92,3,3.3
07-04-2025,11:08:00,CNR7849284730,Canceled by Driver,CUST9895,Auto,Jamialpur,Navrangpura,,,,,Yes,Customer was coughing/sick,,,,,,,
06-04-2025,20:14:00,CNR6374289783,Success,CUST5882,eBike,Asarwa,Vatva,11.55,8.56,,,,,,,462.204,Credit Card,16.59,4.7,4.3
12-04-2025,04:07:00,CNR9711358165,Success,CUST1713,Prime Plus,Vatva,Science City,7.41,8.98,,,,,,,584.256,UPI,10.43,4.8,4.3
03-04-2025,23:06:00,CNR7961985656,Success,CUST5947,Prime Sedan,Behrampura,Hansol,9.92,12.39,,,,,,,374.38,Debit Card,7.74,3,4.3
24-04-2025,06:53:00,CNR3582226528,Incomplete,CUST5819,Prime Sedan,Vastrapur,Lal Darwaja,,,,,,,Yes,Other Issue,,,,,
10-04-2025,08:28:00,CNR5734388817,Incomplete,CUST1358,Auto,Amraiwadi,Sola,,,,,,,Yes,Other Issue,,,,,
26-04-2025,18:33:00,CNR3251393249,Success,CUST3152,eBike,Naroda,Prahlad Nagar,14.14,11.42,,,,,,,1177.02,Cash,21.47,3.6,3.8
10-04-2025,03:57:00,CNR4180055774,Success,CUST3778,Prime Sedan,CG Road,Gota,9.68,19.04,,,,,,,305.96,Credit Card,3.33,4.2,5
17-04-2025,12:50:00,CNR2249963025,Success,CUST2270,Prime SUV,Saraspur,Navrangpura,13.53,16.11,,,,,,,365.42,Cash,9.63,3.6,4.6
07-04-2025,06:21:00,CNR8890429693,Canceled by Driver,CUST5445,Prime Sedan,Naranpura,Vatva,,,,,Yes,Customer was coughing/sick,,,,,,,
12-04-2025,02:53:00,CNR1207916626,Success,CUST6494,Prime Sedan,Chharodi,Shahpur,12.58,14.75,,,,,,,1076.52,Credit Card,22.36,3.7,3.8
26-04-2025,13:53:00,CNR1640172992,Success,CUST3545,Prime Sedan,CG Road,Kalupur,3.43,11.98,,,,,,,214.392,Credit Card,15.18,3.1,3.1
17-04-2025,12:33:00,CNR2248653059,Success,CUST6233,Prime SUV,Gomtipur,Bopal,4.52,12.83,,,,,,,607.69,UPI,15.95,3.2,3.1
04-04-2025,13:10:00,CNR2759483565,Success,CUST6314,Mini,Kalupur,Behrampura,10.65,15.89,,,,,,,757.63,Cash,8.75,4.6,3.5
09-04-2025,14:55:00,CNR6314646872,Success,CUST7606,Prime Plus,Bodakdev,Vejalpur,3.3,19.44,,,,,,,847.29,UPI,10.81,3.3,3.3
03-04-2025,17:30:00,CNR1086773592,Success,CUST7327,Auto,Ellis Bridge,Danilimda,11.58,14.9,,,,,,,478.73,Credit Card,18.71,4.1,4.2
13-04-2025,11:53:00,CNR5018754698,Success,CUST2802,Prime Plus,Prahlad Nagar,Isanpur,7.27,16.37,,,,,,,122.544,Debit Card,2.1,3.1,4.7
09-04-2025,11:15:00,CNR9698296231,Success,CUST1590,Prime Plus,Vasna,Danilimda,4.17,12.37,,,,,,,127.77,UPI,11.41,3.8,4.2
16-04-2025,00:44:00,CNR5342532906,Success,CUST3997,Prime SUV,Navrangpura,Gota,7.5,14.39,,,,,,,434.56,Wallet,16.81,3.3,3.1
14-04-2025,09:11:00,CNR9292456071,Success,CUST4708,Auto,Drive-In,Ellis Bridge,10.03,19.1,,,,,,,224.29,Credit Card,16.44,3.9,4.1
25-04-2025,07:29:00,CNR9699950599,Incomplete,CUST3831,eBike,Navrangpura,Dariapur,,,,,,,Yes,Vehicle Breakdown,,,,,
25-04-2025,05:41:00,CNR2145303861,Success,CUST6618,Bike,Odhav,Vejalpur,4.21,5.27,,,,,,,356.67,Cash,2.71,3.6,4.7
03-04-2025,03:10:00,CNR4572257553,Canceled by Driver,CUST8867,Prime Sedan,Chharodi,Thaltej,,,,,Yes,More than permitted people in there,,,,,,,
19-04-2025,19:57:00,CNR5051652151,Success,CUST4162,Auto,Juhapura,New Ranip,11.36,14.43,,,,,,,1040.16,Wallet,20.28,3.6,3.4
23-04-2025,13:30:00,CNR8421975607,Canceled by Driver,CUST3481,Prime Plus,Memnagar,Sabarmati,,,,,Yes,More than permitted people in there,,,,,,,
30-04-2025,17:39:00,CNR1361845388,Success,CUST1991,Prime SUV,New Ranip,Sola,12.32,10.11,,,,,,,928.35,Cash,11.3,4.5,4.5
16-04-2025,08:22:00,CNR8649344260,Incomplete,CUST2861,Prime SUV,Ambawadi,CG Road,,,,,,,Yes,Customer Demand,,,,,
23-04-2025,05:17:00,CNR2959728079,Canceled by Driver,CUST3468,Prime SUV,Naroda,Dariapur,,,,,Yes,Customer related issue,,,,,,,
25-04-2025,06:47:00,CNR9419669345,Incomplete,CUST5157,Auto,Science City,Dariapur,,,,,,,Yes,Vehicle Breakdown,,,,,
08-04-2025,17:37:00,CNR5392955575,Success,CUST5703,Prime Sedan,Ranip,Gota,13.86,6.37,,,,,,,476.58,Credit Card,23.81,4.1,4.3
07-04-2025,00:59:00,CNR7322223060,Success,CUST1021,Mini,Lal Darwaja,Shahpur,6.94,15.09,,,,,,,895,Wallet,19.95,3.2,4
20-04-2025,20:43:00,CNR6964533547,Success,CUST8007,Mini,Asarwa,Ghodasar,8.3,18.32,,,,,,,123.072,Debit Card,4.43,4.5,4.2
09-04-2025,19:51:00,CNR6050514497,Success,CUST5567,Auto,Jamialpur,Lal Darwaja,11.41,6.09,,,,,,,852.41,Cash,2.95,3.2,5
29-04-2025,00:13:00,CNR8451131045,Success,CUST6535,Auto,Vastrapur,Dariapur,12.75,19.21,,,,,,,1753.38,Wallet,10.03,3.2,4.6
11-04-2025,13:22:00,CNR1282888812,Success,CUST9363,Prime Plus,Manek Chowk,Vatva,13.88,6.67,,,,,,,55.1,Cash,12.25,3.1,3.2
11-04-2025,14:17:00,CNR4178213225,Canceled by Customer,CUST4685,Prime Sedan,Thaltej,Danilimda,,,Yes,Change of plans,,,,,,,,,
16-04-2025,18:45:00,CNR6139470234,Success,CUST4316,Prime SUV,Lal Darwaja,Nikol,14.55,10.62,,,,,,,440,Debit Card,6.37,4.9,3
22-04-2025,06:23:00,CNR1559217830,Incomplete,CUST3567,eBike,Naranpura,Naranpura,,,,,,,Yes,Vehicle Breakdown,,,,,
23-04-2025,04:56:00,CNR7737108963,Incomplete,CUST8821,Prime Sedan,Manek Chowk,Asarwa,,,,,,,Yes,Vehicle Breakdown,,,,,
01-04-2025,15:57:00,CNR2793537131,Success,CUST5162,Bike,Prahlad Nagar,Gomtipur,14.63,12.85,,,,,,,362.39,Credit Card,11.91,4.3,4.2
24-04-2025,10:46:00,CNR9643627513,Success,CUST5600,Auto,Kalupur,Saraspur,6.37,19.26,,,,,,,727.37,UPI,15.88,3.6,3.4
07-04-2025,15:30:00,CNR2680956878,Success,CUST7423,eBike,Memnagar,Ambawadi,10,6.17,,,,,,,992.12,Wallet,17.76,4.1,3.6
30-04-2025,16:45:00,CNR8492602460,Canceled by Customer,CUST8890,Prime SUV,Narol,Chharodi,,,Yes,Driver is not moving towards pickup location,,,,,,,,,
14-04-2025,00:43:00,CNR3860741388,Incomplete,CUST3368,Prime Sedan,Satellite,Thaltej,,,,,,,Yes,Customer Demand,,,,,
15-04-2025,23:41:00,CNR5332459355,Incomplete,CUST4438,Bike,Vasna,Vatva,,,,,,,Yes,Customer Demand,,,,,
10-04-2025,18:39:00,CNR1613190343,Success,CUST4725,Prime SUV,Naroda,Asarwa,8.02,18.99,,,,,,,522.56,UPI,1.63,3.8,4.6
17-04-2025,17:13:00,CNR2961745001,Success,CUST8009,Prime SUV,Kubernagar,Science City,7.57,19.55,,,,,,,918.33,UPI,12.25,3.8,3.5
09-04-2025,14:57:00,CNR7159966358,Canceled by Driver,CUST1312,Prime SUV,Gota,Bodakdev,,,,,Yes,Customer related issue,,,,,,,
03-04-2025,22:19:00,CNR5055864739,Success,CUST7400,Prime Sedan,CG Road,Ambawadi,12.23,19.17,,,,,,,623.43,UPI,11.81,3.3,4.9
11-04-2025,14:50:00,CNR6515777043,Success,CUST7066,Prime Plus,Gomtipur,Jamialpur,11.06,14.27,,,,,,,100.99,UPI,17.12,4,4.5
19-04-2025,21:26:00,CNR2028123783,Canceled by Driver,CUST8664,Bike,Drive-In,Behrampura,,,,,Yes,Customer was coughing/sick,,,,,,,
25-04-2025,05:28:00,CNR6786808866,Success,CUST9784,Mini,CG Road,Ambawadi,13.52,11.05,,,,,,,62.92,UPI,19.12,4.2,4.4
10-04-2025,22:42:00,CNR5284518739,Success,CUST1850,Bike,Navrangpura,Gota,3.17,10.26,,,,,,,226.12,Wallet,11.5,4.8,3.7
